Thời gian,Nhiệt độ (°C)
14:23:39 18/9/2025,33.6
14:23:46 18/9/2025,33.6
14:23:53 18/9/2025,33.6
14:24:00 18/9/2025,33.6
14:24:07 18/9/2025,33.6
14:24:14 18/9/2025,33.6
14:24:21 18/9/2025,33.6
14:24:28 18/9/2025,33.6
14:24:35 18/9/2025,33.6
14:24:42 18/9/2025,33.6
14:24:49 18/9/2025,33.6
14:24:56 18/9/2025,33.6
14:25:03 18/9/2025,33.6
14:25:10 18/9/2025,33.6
14:25:17 18/9/2025,33.6
14:25:24 18/9/2025,33.6
14:25:31 18/9/2025,33.6
14:25:38 18/9/2025,33.6
14:25:45 18/9/2025,33.6
14:25:52 18/9/2025,33.6
14:26:00 18/9/2025,33.6
14:26:07 18/9/2025,33.6
14:26:14 18/9/2025,33.6
14:26:21 18/9/2025,33.6
14:26:28 18/9/2025,33.6
14:26:35 18/9/2025,33.6
14:26:42 18/9/2025,33.6
14:26:49 18/9/2025,33.6
14:26:56 18/9/2025,33.6
14:27:03 18/9/2025,33.6
14:27:10 18/9/2025,33.6
14:27:17 18/9/2025,33.6
14:27:24 18/9/2025,33.6
14:27:31 18/9/2025,33.6
14:27:38 18/9/2025,33.6
14:27:45 18/9/2025,33.6
14:27:52 18/9/2025,33.6
14:27:59 18/9/2025,33.6
14:28:06 18/9/2025,33.6
14:28:13 18/9/2025,33.6
14:28:20 18/9/2025,33.6
14:28:27 18/9/2025,33.6
14:28:34 18/9/2025,33.6
14:28:41 18/9/2025,33.6
14:28:48 18/9/2025,33.6
14:28:55 18/9/2025,33.6
14:29:02 18/9/2025,33.6
14:29:09 18/9/2025,33.6
14:29:17 18/9/2025,33.6
14:29:24 18/9/2025,33.6
14:29:31 18/9/2025,33.6
14:29:38 18/9/2025,33.6
14:29:45 18/9/2025,33.6
14:29:52 18/9/2025,33.6
14:29:59 18/9/2025,33.6
14:30:06 18/9/2025,33.6
